dataset,metric,method_a,method_b,median_a,median_b,median_diff,p_two_sided,sig_bonferroni
ms_CreiLOV,top128_mean_norm,ftMLDE,ALDE,0.9236484982538968,0.8752260650508106,0.04842243320308626,1.862645149230957e-09,True
ms_CreiLOV,top128_mean_norm,ftMLDE,EVOLVEpro,0.9236484982538968,0.8743076042737812,0.04934089398011565,1.862645149230957e-09,True
ms_CreiLOV,top128_mean_norm,ftMLDE,AiCE,0.9236484982538968,0.869392448104918,0.05425605014897883,1.862645149230957e-09,True
ms_CreiLOV,top128_mean_norm,ftMLDE,Random,0.9236484982538968,0.7731986581347883,0.15044984011910856,1.862645149230957e-09,True
ms_CreiLOV,top128_mean_norm,AlphaVariant,GreedyWalk,0.8992610085137309,0.8968203966505826,0.0024406118631483675,0.19807579927146435,False
ms_CreiLOV,top128_mean_norm,AlphaVariant,MULTIevolve,0.8992610085137309,0.8910367898643017,0.008224218649429238,0.003475155681371689,False
ms_CreiLOV,top128_mean_norm,AlphaVariant,CLADE,0.8992610085137309,0.8889774980489165,0.01028351046481446,0.00012333691120147705,True
ms_CreiLOV,top128_mean_norm,AlphaVariant,ALDE,0.8992610085137309,0.8752260650508106,0.024034943462920344,6.146728992462158e-08,True
ms_CreiLOV,top128_mean_norm,AlphaVariant,EVOLVEpro,0.8992610085137309,0.8743076042737812,0.02495340423994974,2.60770320892334e-08,True
ms_CreiLOV,top128_mean_norm,AlphaVariant,AiCE,0.8992610085137309,0.869392448104918,0.029868560408812916,1.862645149230957e-09,True
ms_CreiLOV,top128_mean_norm,AlphaVariant,Random,0.8992610085137309,0.7731986581347883,0.12606235037894264,1.862645149230957e-09,True
ms_CreiLOV,top128_mean_norm,GreedyWalk,MULTIevolve,0.8968203966505826,0.8910367898643017,0.0057836067862808704,0.4771064817905426,False
ms_CreiLOV,top128_mean_norm,GreedyWalk,CLADE,0.8968203966505826,0.8889774980489165,0.007842898601666093,0.049710121005773544,False
ms_CreiLOV,top128_mean_norm,GreedyWalk,ALDE,0.8968203966505826,0.8752260650508106,0.021594331599771976,3.855675458908081e-07,True
ms_CreiLOV,top128_mean_norm,GreedyWalk,EVOLVEpro,0.8968203966505826,0.8743076042737812,0.02251279237680137,3.855675458908081e-07,True
ms_CreiLOV,top128_mean_norm,GreedyWalk,AiCE,0.8968203966505826,0.869392448104918,0.02742794854566455,2.348795533180237e-06,True
ms_CreiLOV,top128_mean_norm,GreedyWalk,Random,0.8968203966505826,0.7731986581347883,0.12362173851579428,1.862645149230957e-09,True
ms_CreiLOV,top128_mean_norm,MULTIevolve,CLADE,0.8910367898643017,0.8889774980489165,0.0020592918153852224,0.5978077705949545,False
ms_CreiLOV,top128_mean_norm,MULTIevolve,ALDE,0.8910367898643017,0.8752260650508106,0.015810724813491106,0.00018860027194023132,True
ms_CreiLOV,top128_mean_norm,MULTIevolve,EVOLVEpro,0.8910367898643017,0.8743076042737812,0.0167291855905205,3.904104232788086e-05,True
ms_CreiLOV,top128_mean_norm,MULTIevolve,AiCE,0.8910367898643017,0.869392448104918,0.02164434175938368,3.5390257835388184e-08,True
ms_CreiLOV,top128_mean_norm,MULTIevolve,Random,0.8910367898643017,0.7731986581347883,0.1178381317295134,1.862645149230957e-09,True
ms_CreiLOV,top128_mean_norm,CLADE,ALDE,0.8889774980489165,0.8752260650508106,0.013751432998105884,4.7124922275543213e-07,True
ms_CreiLOV,top128_mean_norm,CLADE,EVOLVEpro,0.8889774980489165,0.8743076042737812,0.014669893775135279,1.4193356037139893e-06,True
ms_CreiLOV,top128_mean_norm,CLADE,AiCE,0.8889774980489165,0.869392448104918,0.019585049943998456,6.146728992462158e-08,True
ms_CreiLOV,top128_mean_norm,CLADE,Random,0.8889774980489165,0.7731986581347883,0.11577883991412818,1.862645149230957e-09,True
ms_CreiLOV,top128_mean_norm,ALDE,EVOLVEpro,0.8752260650508106,0.8743076042737812,0.0009184607770293951,0.4898460879921913,False
ms_CreiLOV,top128_mean_norm,ALDE,AiCE,0.8752260650508106,0.869392448104918,0.005833616945892572,0.19807579927146435,False
ms_CreiLOV,top128_mean_norm,ALDE,Random,0.8752260650508106,0.7731986581347883,0.1020274069160223,1.862645149230957e-09,True
ms_CreiLOV,top128_mean_norm,EVOLVEpro,AiCE,0.8743076042737812,0.869392448104918,0.004915156168863177,0.3492113798856735,False
ms_CreiLOV,top128_mean_norm,EVOLVEpro,Random,0.8743076042737812,0.7731986581347883,0.1011089461389929,1.862645149230957e-09,True
ms_CreiLOV,top128_mean_norm,AiCE,Random,0.869392448104918,0.7731986581347883,0.09619378997012973,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,AlphaVariant,AdaLead,0.504269501084689,0.5029088689479977,0.0013606321366913532,0.935398668050766,False
ms_PAB1,top128_mean_norm,AlphaVariant,ftMLDE,0.504269501084689,0.49279739730991423,0.011472103774774811,0.06989291124045849,False
ms_PAB1,top128_mean_norm,AlphaVariant,GreedyWalk,0.504269501084689,0.46955949382390827,0.03471000726078077,2.348795533180237e-06,True
ms_PAB1,top128_mean_norm,AlphaVariant,MULTIevolve,0.504269501084689,0.46228665253147483,0.041982848553214214,9.98377799987793e-07,True
ms_PAB1,top128_mean_norm,AlphaVariant,EVOLVEpro,0.504269501084689,0.443030959693715,0.061238541390974066,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,AlphaVariant,AiCE,0.504269501084689,0.4336975807091221,0.07057192037556692,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,AlphaVariant,CLADE,0.504269501084689,0.4048842885531485,0.09938521253154053,3.725290298461914e-09,True
ms_PAB1,top128_mean_norm,AlphaVariant,ALDE,0.504269501084689,0.37985771091189235,0.12441179017279669,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,AlphaVariant,Random,0.504269501084689,0.2829681491712108,0.22130135191347822,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,AdaLead,ftMLDE,0.5029088689479977,0.49279739730991423,0.010111471638083458,0.02084985189139843,False
ms_PAB1,top128_mean_norm,AdaLead,GreedyWalk,0.5029088689479977,0.46955949382390827,0.03334937512408942,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,AdaLead,MULTIevolve,0.5029088689479977,0.46228665253147483,0.04062221641652286,3.725290298461914e-09,True
ms_PAB1,top128_mean_norm,AdaLead,EVOLVEpro,0.5029088689479977,0.443030959693715,0.05987790925428271,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,AdaLead,AiCE,0.5029088689479977,0.4336975807091221,0.06921128823887557,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,AdaLead,CLADE,0.5029088689479977,0.4048842885531485,0.09802458039484918,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,AdaLead,ALDE,0.5029088689479977,0.37985771091189235,0.12305115803610533,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,AdaLead,Random,0.5029088689479977,0.2829681491712108,0.21994071977678686,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,ftMLDE,GreedyWalk,0.49279739730991423,0.46955949382390827,0.023237903486005962,4.7124922275543213e-07,True
ms_PAB1,top128_mean_norm,ftMLDE,MULTIevolve,0.49279739730991423,0.46228665253147483,0.030510744778439403,9.220093488693237e-06,True
ms_PAB1,top128_mean_norm,ftMLDE,EVOLVEpro,0.49279739730991423,0.443030959693715,0.049766437616199255,3.725290298461914e-09,True
ms_PAB1,top128_mean_norm,ftMLDE,AiCE,0.49279739730991423,0.4336975807091221,0.05909981660079211,3.725290298461914e-09,True
ms_PAB1,top128_mean_norm,ftMLDE,CLADE,0.49279739730991423,0.4048842885531485,0.08791310875676572,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,ftMLDE,ALDE,0.49279739730991423,0.37985771091189235,0.11293968639802188,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,ftMLDE,Random,0.49279739730991423,0.2829681491712108,0.2098292481387034,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,GreedyWalk,MULTIevolve,0.46955949382390827,0.46228665253147483,0.007272841292433441,0.9515264742076397,False
ms_PAB1,top128_mean_norm,GreedyWalk,EVOLVEpro,0.46955949382390827,0.443030959693715,0.026528534130193293,9.313225746154785e-09,True
ms_PAB1,top128_mean_norm,GreedyWalk,AiCE,0.46955949382390827,0.4336975807091221,0.03586191311478615,8.009374141693115e-08,True
ms_PAB1,top128_mean_norm,GreedyWalk,CLADE,0.46955949382390827,0.4048842885531485,0.06467520527075976,1.862645149230957e-09,True
