dataset,metric,best,other,median_best,median_other,median_diff,p_greater,sig_bonferroni
ms_CreiLOV,top128_mean_norm,AdaLead,GreedyWalk,0.9352380663622171,0.8968203966505826,0.03841766971163452,2.7939677238464355e-09,True
ms_CreiLOV,top128_mean_norm,AdaLead,MULTIevolve,0.9352380663622171,0.8910367898643017,0.04420127649791539,4.6566128730773926e-09,True
ms_CreiLOV,top128_mean_norm,AdaLead,CLADE,0.9352380663622171,0.8889774980489165,0.04626056831330061,9.313225746154785e-10,True
ms_CreiLOV,top128_mean_norm,AdaLead,ALDE,0.9352380663622171,0.8752260650508106,0.06001200131140649,9.313225746154785e-10,True
ms_CreiLOV,top128_mean_norm,AdaLead,EVOLVEpro,0.9352380663622171,0.8743076042737812,0.06093046208843589,9.313225746154785e-10,True
ms_CreiLOV,top128_mean_norm,AdaLead,AiCE,0.9352380663622171,0.869392448104918,0.06584561825729907,9.313225746154785e-10,True
ms_CreiLOV,top128_mean_norm,AdaLead,Random,0.9352380663622171,0.7731986581347883,0.1620394082274288,9.313225746154785e-10,True
ms_GFP,top128_mean_norm,AiCE,AlphaVariant,0.8466314098332077,0.7969579172857473,0.04967349254746045,1.0399147868156433e-05,True
ms_GFP,top128_mean_norm,AiCE,GreedyWalk,0.8466314098332077,0.7726363316178322,0.07399507821537554,9.313225746154785e-10,True
ms_GFP,top128_mean_norm,AiCE,ftMLDE,0.8466314098332077,0.6684816991910338,0.1781497106421739,9.313225746154785e-10,True
ms_GFP,top128_mean_norm,AiCE,Random,0.8466314098332077,0.6372171700932086,0.20941423973999918,9.313225746154785e-10,True
ms_GFP,top128_mean_norm,AiCE,MULTIevolve,0.8466314098332077,0.6338128014467657,0.21281860838644207,9.313225746154785e-10,True
ms_GFP,top128_mean_norm,AiCE,EVOLVEpro,0.8466314098332077,0.6305557279847562,0.2160756818484515,9.313225746154785e-10,True
ms_GFP,top128_mean_norm,AiCE,ALDE,0.8466314098332077,0.6177359921857715,0.22889541764743626,9.313225746154785e-10,True
ms_GFP,top128_mean_norm,AiCE,AdaLead,0.8466314098332077,0.6124135958962142,0.23421781393699348,9.313225746154785e-10,True
ms_GFP,top128_mean_norm,AiCE,CLADE,0.8466314098332077,0.6103623050730675,0.23626910476014018,9.313225746154785e-10,True
ms_PAB1,top128_mean_norm,AlphaVariant,AdaLead,0.504269501084689,0.5029088689479977,0.0013606321366913532,0.467699334025383,False
ms_PAB1,top128_mean_norm,AlphaVariant,ftMLDE,0.504269501084689,0.49279739730991423,0.011472103774774811,0.034946455620229244,False
ms_PAB1,top128_mean_norm,AlphaVariant,GreedyWalk,0.504269501084689,0.46955949382390827,0.03471000726078077,1.1743977665901184e-06,True
ms_PAB1,top128_mean_norm,AlphaVariant,MULTIevolve,0.504269501084689,0.46228665253147483,0.041982848553214214,4.991888999938965e-07,True
ms_PAB1,top128_mean_norm,AlphaVariant,EVOLVEpro,0.504269501084689,0.443030959693715,0.061238541390974066,9.313225746154785e-10,True
ms_PAB1,top128_mean_norm,AlphaVariant,AiCE,0.504269501084689,0.4336975807091221,0.07057192037556692,9.313225746154785e-10,True
ms_PAB1,top128_mean_norm,AlphaVariant,CLADE,0.504269501084689,0.4048842885531485,0.09938521253154053,1.862645149230957e-09,True
ms_PAB1,top128_mean_norm,AlphaVariant,ALDE,0.504269501084689,0.37985771091189235,0.12441179017279669,9.313225746154785e-10,True
ms_PAB1,top128_mean_norm,AlphaVariant,Random,0.504269501084689,0.2829681491712108,0.22130135191347822,9.313225746154785e-10,True
