dataset,metric,method_a,method_b,median_a,median_b,median_diff,p_two_sided,sig_bonferroni
4site_PhoQ,top128,ftMLDE,AlphaVariant,0.11796442834842394,0.10453576074651255,0.013428667601911387,0.0003800932317972183,True
4site_PhoQ,top128,ftMLDE,FLEXS,0.11796442834842394,0.10007861240343618,0.017885815944987754,5.973502993583679e-06,True
4site_PhoQ,top128,ftMLDE,CLADE,0.11796442834842394,0.09825509011015218,0.019709338238271756,0.00023163668811321259,True
4site_PhoQ,top128,ftMLDE,AiCE,0.11796442834842394,0.06181512890361989,0.05614929944480405,1.862645149230957e-09,True
4site_PhoQ,top128,ftMLDE,EVOLVEpro,0.11796442834842394,0.04469406145137015,0.0732703668970538,1.862645149230957e-09,True
4site_PhoQ,top128,ftMLDE,GreedyWalk,0.11796442834842394,0.03956686821223694,0.078397560136187,1.862645149230957e-09,True
4site_PhoQ,top128,ftMLDE,Random,0.11796442834842394,0.0005809563871597937,0.11738347196126414,1.862645149230957e-09,True
4site_PhoQ,top128,AlphaVariant,FLEXS,0.10453576074651255,0.10007861240343618,0.004457148343076367,0.28008678182959557,False
4site_PhoQ,top128,AlphaVariant,CLADE,0.10453576074651255,0.09825509011015218,0.006280670636360369,0.5158484429121017,False
4site_PhoQ,top128,AlphaVariant,AiCE,0.10453576074651255,0.06181512890361989,0.04272063184289266,3.725290298461914e-09,True
4site_PhoQ,top128,AlphaVariant,EVOLVEpro,0.10453576074651255,0.04469406145137015,0.0598416992951424,3.725290298461914e-09,True
4site_PhoQ,top128,AlphaVariant,GreedyWalk,0.10453576074651255,0.03956686821223694,0.06496889253427561,1.862645149230957e-09,True
4site_PhoQ,top128,AlphaVariant,Random,0.10453576074651255,0.0005809563871597937,0.10395480435935275,1.862645149230957e-09,True
4site_PhoQ,top128,FLEXS,CLADE,0.10007861240343618,0.09825509011015218,0.0018235222932840023,0.8078304156661034,False
4site_PhoQ,top128,FLEXS,AiCE,0.10007861240343618,0.06181512890361989,0.03826348349981629,1.862645149230957e-09,True
4site_PhoQ,top128,FLEXS,EVOLVEpro,0.10007861240343618,0.04469406145137015,0.055384550952066035,1.862645149230957e-09,True
4site_PhoQ,top128,FLEXS,GreedyWalk,0.10007861240343618,0.03956686821223694,0.06051174419119924,1.862645149230957e-09,True
4site_PhoQ,top128,FLEXS,Random,0.10007861240343618,0.0005809563871597937,0.09949765601627639,1.862645149230957e-09,True
4site_PhoQ,top128,CLADE,AiCE,0.09825509011015218,0.06181512890361989,0.03643996120653229,9.313225746154785e-09,True
4site_PhoQ,top128,CLADE,EVOLVEpro,0.09825509011015218,0.04469406145137015,0.05356102865878203,3.725290298461914e-09,True
4site_PhoQ,top128,CLADE,GreedyWalk,0.09825509011015218,0.03956686821223694,0.05868822189791524,3.5390257835388184e-08,True
4site_PhoQ,top128,CLADE,Random,0.09825509011015218,0.0005809563871597937,0.09767413372299238,1.862645149230957e-09,True
4site_PhoQ,top128,AiCE,EVOLVEpro,0.06181512890361989,0.04469406145137015,0.01712106745224974,9.313225746154785e-09,True
4site_PhoQ,top128,AiCE,GreedyWalk,0.06181512890361989,0.03956686821223694,0.02224826069138295,0.0003800932317972183,True
4site_PhoQ,top128,AiCE,Random,0.06181512890361989,0.0005809563871597937,0.0612341725164601,1.862645149230957e-09,True
4site_PhoQ,top128,EVOLVEpro,GreedyWalk,0.04469406145137015,0.03956686821223694,0.005127193239133208,0.6120056137442589,False
4site_PhoQ,top128,EVOLVEpro,Random,0.04469406145137015,0.0005809563871597937,0.04411310506421036,1.862645149230957e-09,True
4site_PhoQ,top128,GreedyWalk,Random,0.03956686821223694,0.0005809563871597937,0.03898591182507715,1.862645149230957e-09,True
4site_TRPB,top128,ALDE,ftMLDE,0.609587605,0.58555178175,0.024035823249999977,0.0803273618221283,False
4site_TRPB,top128,ALDE,MULTIevolve,0.609587605,0.576728755,0.032858849999999995,0.016431212425231934,False
4site_TRPB,top128,ALDE,AlphaVariant,0.609587605,0.5655775745,0.044010030499999964,0.00466480478644371,False
4site_TRPB,top128,ALDE,FLEXS,0.609587605,0.54780232,0.06178528500000002,5.973502993583679e-06,True
4site_TRPB,top128,ALDE,CLADE,0.609587605,0.540510146,0.06907745899999995,0.000283263623714447,True
4site_TRPB,top128,ALDE,GreedyWalk,0.609587605,0.297320829,0.31226677599999997,1.862645149230957e-09,True
4site_TRPB,top128,ALDE,AiCE,0.609587605,0.08503513374999999,0.52455247125,1.862645149230957e-09,True
4site_TRPB,top128,ALDE,EVOLVEpro,0.609587605,0.03603471975,0.57355288525,1.862645149230957e-09,True
4site_TRPB,top128,ALDE,Random,0.6031907655,0.035766441999999996,0.5674243234999999,3.725290298461914e-09,True
4site_TRPB,top128,ftMLDE,MULTIevolve,0.58555178175,0.576728755,0.008823026750000018,0.7765688337385654,False
4site_TRPB,top128,ftMLDE,AlphaVariant,0.58555178175,0.5655775745,0.019974207249999987,0.01283373311161995,False
4site_TRPB,top128,ftMLDE,FLEXS,0.58555178175,0.54780232,0.037749461750000046,0.0015832837671041489,False
4site_TRPB,top128,ftMLDE,CLADE,0.58555178175,0.540510146,0.045041635749999975,0.001340603455901146,False
4site_TRPB,top128,ftMLDE,GreedyWalk,0.58555178175,0.297320829,0.28823095275,1.862645149230957e-09,True
4site_TRPB,top128,ftMLDE,AiCE,0.58555178175,0.08503513374999999,0.5005166480000001,1.862645149230957e-09,True
4site_TRPB,top128,ftMLDE,EVOLVEpro,0.58555178175,0.03603471975,0.5495170620000001,1.862645149230957e-09,True
4site_TRPB,top128,ftMLDE,Random,0.581029339,0.035766441999999996,0.545262897,3.725290298461914e-09,True
4site_TRPB,top128,MULTIevolve,AlphaVariant,0.576728755,0.5655775745,0.011151180499999969,0.22855282202363014,False
4site_TRPB,top128,MULTIevolve,FLEXS,0.576728755,0.54780232,0.028926435000000028,0.026228994131088257,False
4site_TRPB,top128,MULTIevolve,CLADE,0.576728755,0.540510146,0.03621860899999996,0.007111456245183945,False
4site_TRPB,top128,MULTIevolve,GreedyWalk,0.576728755,0.297320829,0.279407926,1.862645149230957e-09,True
4site_TRPB,top128,MULTIevolve,AiCE,0.576728755,0.08503513374999999,0.49169362125,1.862645149230957e-09,True
4site_TRPB,top128,MULTIevolve,EVOLVEpro,0.576728755,0.03603471975,0.54069403525,1.862645149230957e-09,True
4site_TRPB,top128,MULTIevolve,Random,0.569840337,0.035766441999999996,0.534073895,3.725290298461914e-09,True
4site_TRPB,top128,AlphaVariant,FLEXS,0.5655775745,0.54780232,0.01777525450000006,0.140283040702343,False
4site_TRPB,top128,AlphaVariant,CLADE,0.5655775745,0.540510146,0.02506742849999999,0.05768792890012264,False
4site_TRPB,top128,AlphaVariant,GreedyWalk,0.5655775745,0.297320829,0.2682567455,3.725290298461914e-09,True
4site_TRPB,top128,AlphaVariant,AiCE,0.5655775745,0.08503513374999999,0.48054244075,1.862645149230957e-09,True
4site_TRPB,top128,AlphaVariant,EVOLVEpro,0.5655775745,0.03603471975,0.5295428547500001,1.862645149230957e-09,True
4site_TRPB,top128,AlphaVariant,Random,0.566311989,0.035766441999999996,0.530545547,3.725290298461914e-09,True
4site_TRPB,top128,FLEXS,CLADE,0.54780232,0.540510146,0.007292173999999929,0.2621222734451294,False
