dataset,metric,best,other,median_best,median_other,median_diff,p_greater,sig_bonferroni
4site_GB1,top128,ALDE,Random,0.5394403026305856,0.002422329948174186,0.5370179726824115,9.313225746154785e-10,True
4site_PhoQ,top128,MULTIevolve,ALDE,0.12630787385660328,0.12207793586618648,0.004229937990416793,0.022453604266047478,False
4site_PhoQ,top128,MULTIevolve,ftMLDE,0.12630787385660328,0.11796442834842394,0.008343445508179337,0.002888246439397335,True
4site_PhoQ,top128,MULTIevolve,AlphaVariant,0.12630787385660328,0.10453576074651255,0.021772113110090724,7.988885045051575e-06,True
4site_PhoQ,top128,MULTIevolve,FLEXS,0.12630787385660328,0.10007861240343618,0.02622926145316709,2.7939677238464355e-09,True
4site_PhoQ,top128,MULTIevolve,CLADE,0.12630787385660328,0.09825509011015218,0.028052783746451093,9.313225746154785e-10,True
4site_PhoQ,top128,MULTIevolve,AiCE,0.12630787385660328,0.06181512890361989,0.06449274495298338,9.313225746154785e-10,True
4site_PhoQ,top128,MULTIevolve,EVOLVEpro,0.12630787385660328,0.04469406145137015,0.08161381240523313,9.313225746154785e-10,True
4site_PhoQ,top128,MULTIevolve,GreedyWalk,0.12630787385660328,0.03956686821223694,0.08674100564436633,9.313225746154785e-10,True
4site_PhoQ,top128,MULTIevolve,Random,0.12630787385660328,0.0005809563871597937,0.12572691746944348,9.313225746154785e-10,True
4site_TRPB,top128,ALDE,ftMLDE,0.609587605,0.58555178175,0.024035823249999977,0.04016368091106415,False
4site_TRPB,top128,ALDE,MULTIevolve,0.609587605,0.576728755,0.032858849999999995,0.008215606212615967,False
4site_TRPB,top128,ALDE,AlphaVariant,0.609587605,0.5655775745,0.044010030499999964,0.002332402393221855,True
4site_TRPB,top128,ALDE,FLEXS,0.609587605,0.54780232,0.06178528500000002,2.9867514967918396e-06,True
4site_TRPB,top128,ALDE,CLADE,0.609587605,0.540510146,0.06907745899999995,0.0001416318118572235,True
4site_TRPB,top128,ALDE,GreedyWalk,0.609587605,0.297320829,0.31226677599999997,9.313225746154785e-10,True
4site_TRPB,top128,ALDE,AiCE,0.609587605,0.08503513374999999,0.52455247125,9.313225746154785e-10,True
4site_TRPB,top128,ALDE,EVOLVEpro,0.609587605,0.03603471975,0.57355288525,9.313225746154785e-10,True
4site_TRPB,top128,ALDE,Random,0.6031907655,0.035766441999999996,0.5674243234999999,1.862645149230957e-09,True
