dataset,metric,method_a,method_b,median_a,median_b,median_diff,p_two_sided,sig_bonferroni
4site_PhoQ,max_fitness,MULTIevolve,Random,0.5170164858118541,0.1936756604321428,0.3233408253797113,3.5149630812742274e-06,True
4site_PhoQ,max_fitness,ftMLDE,AlphaVariant,0.47899054103630345,0.4635623426048117,0.015428198431491735,0.14701819644612493,False
4site_PhoQ,max_fitness,ftMLDE,ALDE,0.47899054103630345,0.4553539609146411,0.023636580121662365,0.5165103552364216,False
4site_PhoQ,max_fitness,ftMLDE,FLEXS,0.47899054103630345,0.42805041083339634,0.05094013020290711,0.07188829495006241,False
4site_PhoQ,max_fitness,ftMLDE,CLADE,0.47899054103630345,0.40691501963370136,0.0720755214026021,0.059808576442499484,False
4site_PhoQ,max_fitness,ftMLDE,GreedyWalk,0.47899054103630345,0.3419934664862498,0.13699707455005367,0.002277991115374747,False
4site_PhoQ,max_fitness,ftMLDE,AiCE,0.47899054103630345,0.3256729748461517,0.15331756619015174,1.4927876950746346e-05,True
4site_PhoQ,max_fitness,ftMLDE,EVOLVEpro,0.47899054103630345,0.20054061512780447,0.278449925908499,5.896675803378053e-06,True
4site_PhoQ,max_fitness,ftMLDE,Random,0.47899054103630345,0.1936756604321428,0.28531488060416066,1.862645149230957e-08,True
4site_PhoQ,max_fitness,AlphaVariant,ALDE,0.4635623426048117,0.4553539609146411,0.00820838169017063,0.6583220633652915,False
4site_PhoQ,max_fitness,AlphaVariant,FLEXS,0.4635623426048117,0.42805041083339634,0.03551193177141537,0.21374475543238403,False
4site_PhoQ,max_fitness,AlphaVariant,CLADE,0.4635623426048117,0.40691501963370136,0.05664732297111036,0.2621222734451294,False
4site_PhoQ,max_fitness,AlphaVariant,GreedyWalk,0.4635623426048117,0.3419934664862498,0.12156887611856193,0.05768792890012264,False
4site_PhoQ,max_fitness,AlphaVariant,AiCE,0.4635623426048117,0.3256729748461517,0.13788936775866,0.0001603354166972912,True
4site_PhoQ,max_fitness,AlphaVariant,EVOLVEpro,0.4635623426048117,0.20054061512780447,0.26302172747700725,2.0798295736312866e-05,True
